2.5,28,"[0.01282, 0.01696, 0.00154, 0.00161, 0.0197, 0.03631, 0.01756, 0.01162]","[0.2584, 0.22763]","[4, 3]",8,2
2.5,29,"[0.02009, 0.00588, 0.0268, 0.01849, 0.05124, 0.04094, 0.01995, 0.02156, 0.00114, 0.0054]","[0.25768]","[6]",10,1
2.5,30,"[0.00689, 0.02724, 0.00091, 0.00147, 0.00644, 0.00217, 0.00714, 0.00212, 0.00234, 0.00245, 0.06109]","[0.24841]","[5]",11,1
2.5,31,"[0.00886, 0.0129, 0.01132, 0.06001]","[]","[]",4,0
2.5,32,"[0.01979, 0.04521, 0.00321, 0.01292, 0.09634, 0.00558]","[]","[]",6,0
2.5,33,"[0.00751, 0.0112, 0.03121, 0.0488, 0.01773]","[]","[]",5,0
2.5,34,"[0.00962, 0.00554, 0.01089, 0.05229, 0.06883, 0.07686]","[]","[]",6,0
2.5,35,"[0.00088, 0.01506, 0.09428, 0.05837, 0.00072, 0.07242, 0.01147, 0.01358, 0.00078, 0.01265, 0.00181, 0.00097, 0.0191, 0.0557, 0.05992]","[0.27371, 0.21456, 0.2032]","[4, 3, 8]",15,3
2.5,36,"[0.00154, 0.00312, 0.03301, 0.01995, 0.02156, 0.00114, 0.0054]","[0.23885]","[3]",7,1
2.5,37,"[0.00094, 0.01962, 0.00284, 0.05837, 0.0244, 0.00631, 0.02424, 0.03555, 0.01397, 0.06256]","[]","[]",10,0
2.5,38,"[0.00108, 0.054, 0.02599, 0.05468, 0.01961, 0.00072, 0.07242, 0.01147]","[0.22282]","[5]",8,1
2.5,39,"[0.02239, 0.06116, 0.03795, 0.02595]","[]","[]",4,0
2.5,40,"[0.0272, 0.00226, 0.04149, 0.05314, 0.01078, 0.08021, 0.04481, 0.01947, 0.00283, 0.0033, 0.03527]","[]","[]",11,0
2.5,41,"[0.00814, 0.00792, 0.00723, 0.04418, 0.00789, 0.00209, 0.03888, 0.07466]","[]","[]",8,0
2.5,42,"[0.02185, 0.07017, 0.05014, 0.0015, 0.0257, 0.05719, 0.03052]","[]","[]",7,0
2.5,43,"[0.01719, 0.04208, 0.00544, 0.09248]","[]","[]",4,0
2.5,44,"[0.00253, 0.00987, 0.0231, 0.00213, 0.0667, 0.05205, 0.05052, 0.02615, 0.00072, 0.07242, 0.01147, 0.01358, 0.00078, 0.01265, 0.00181, 0.00097, 0.0191, 0.0557, 0.05992]","[0.21922, 0.21456, 0.2032]","[8, 3, 8]",19,3
2.5,45,"[0.01768, 0.03126, 0.02662, 0.02374, 0.03177]","[]","[]",5,0
2.5,46,"[0.00334, 0.07346, 0.01547, 0.00694, 0.01063, 0.03272, 0.04722, 0.01333, 0.06065]","[]","[]",9,0
2.5,47,"[0.0149, 0.02108, 0.02242, 0.03944, 0.03839]","[]","[]",5,0
2.5,48,"[0.00407, 0.02451, 0.00334, 0.05887, 0.00903, 0.00235, 0.00265, 0.01982]","[0.22071]","[7]",8,1
2.5,49,"[0.03527, 0.05015, 0.00264, 0.0506, 0.02583, 0.01358, 0.00078, 0.01265, 0.00181, 0.00097, 0.0191, 0.0557, 0.05992]","[0.25728, 0.2032]","[5, 8]",13,2

