2.5,0,"[0.00549]","[0.02604, 0.05591]","[0, 1]",1,2
2.5,37,"[0.00278, 0.0002]","[0.07088, 0.05187, 0.04013, 0.02361]","[0, 0, 2, 0]",2,4
2.5,38,"[0.00639, 0.00122, 0.00036, 0.00264, 0.00094, 0.00956, 0.00107, 0.00403, 0.00817, 0.00186, 0.00199, 0.00411, 0.00319, 0.00491, 0.00171, 0.00189, 0.00695, 0.00673, 0.00507, 0.00586, 0.00356, 0.00659, 0.00662, 0.00663, 0.00338, 0.00143, 0.00629, 0.00214, 0.00833, 0.00696, 0.00157]","[0.04728, 0.14079, 0.0471, 0.03128, 0.02309, 0.03188, 0.04033, 0.10146, 0.1139, 0.0605, 0.05431, 0.02919, 0.06678, 0.04054, 0.07684, 0.02754, 0.0209, 0.06815, 0.04966, 0.03766, 0.05749]","[2, 6, 0, 0, 1, 3, 4, 0, 0, 1, 3, 0, 1, 1, 2, 1, 1, 0, 0, 0, 2]",31,21
2.5,39,"[0.00071, 0.00443, 0.00704, 0.00051, 0.0046, 0.00115, 0.00064, 0.00837, 0.00844, 0.00129, 0.00053, 0.00172, 0.00839, 0.00085, 0.00441, 0.00085, 0.00221, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.11319, 0.03727, 0.09212, 0.02365, 0.02523, 0.03225, 0.02948, 0.02526, 0.04797, 0.04562, 0.1194, 0.07918, 0.06977, 0.02071, 0.03438, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[1, 1, 1, 1, 0, 1, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 5, 0, 2]",30,22
2.5,40,"[0.00049, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563, 0.00492, 0.00444]","[0.04451, 0.06216, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998, 0.02171, 0.02103]","[0, 1, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2, 3, 2]",25,24
2.5,41,"[5e-05, 0.00636, 0.0006, 0.00072]","[0.04477, 0.06835, 0.03231, 0.04943, 0.02265, 0.02434, 0.06976, 0.06862, 0.05355, 0.04636, 0.0216, 0.02621]","[0, 0, 0, 1, 0, 0, 2, 0, 0, 0, 0, 1]",4,12
2.5,42,"[0.00276, 0.00147, 0.00431, 0.00076, 0.00814, 0.00115, 0.00192, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475, 0.00053, 0.0035, 0.00563]","[0.03517, 0.0392, 0.10748, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144, 0.02998]","[3, 1, 3, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0, 2]",29,23
2.5,43,"[0.00068, 0.00139, 0.00312, 0.00271, 0.00768, 0.00122, 0.00142, 0.00723, 0.00488, 0.00451, 0.00826, 0.00194, 0.00118]","[0.02761, 0.02668, 0.08704, 0.0247, 0.09217, 0.03475, 0.07459, 0.02203, 0.02262, 0.03703, 0.03823, 0.02791]","[0, 2, 1, 2, 1, 0, 1, 0, 0, 0, 3, 3]",13,12
2.5,44,"[0.00443, 0.00704, 0.00051, 0.0046, 0.00115, 0.00064, 0.00837, 0.00844, 0.00129, 0.00053, 0.00172, 0.00839, 0.00085, 0.00441, 0.00085, 0.00221, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.08087, 0.03727, 0.09212, 0.02365, 0.02523, 0.03225, 0.02948, 0.02526, 0.04797, 0.04562, 0.1194, 0.07918, 0.06977, 0.02071, 0.03438, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 1, 1, 1, 0, 1, 0, 4, 1, 1, 2, 0, 1, 2, 1, 2, 1, 1, 2, 5, 0, 2]",29,22
2.5,45,"[0.00164, 0.00371, 0.00122, 0.00394, 0.00063, 0.00148, 0.00494]","[0.0232, 0.02168, 0.03226, 0.02412, 0.05, 0.02843, 0.03445]","[1, 0, 1, 1, 0, 0, 4]",7,7
2.5,46,"[0.00255, 0.00422, 0.00067, 0.00464, 0.00117, 0.0091, 0.0079, 0.00262, 0.00686, 0.00047, 0.00077, 0.00164, 0.00388]","[0.03381, 0.0463, 0.02254, 0.04255, 0.05776, 0.03554, 0.02092, 0.06038, 0.0394, 0.02867, 0.07804, 0.02728, 0.04804, 0.04786, 0.04066, 0.05423, 0.02076, 0.02749, 0.13881, 0.04636, 0.03856, 0.02061]","[0, 2, 1, 0, 1, 1, 0, 0, 0, 2, 1, 2, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",13,22
2.5,47,"[0.00976, 0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.08024, 0.06368, 0.03484, 0.02558, 0.15074, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[1, 0, 0, 3, 2, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",20,16
2.5,48,"[0.00044, 0.0081, 0.0085, 0.00099, 0.00117, 0.00464, 0.00255, 0.00422, 0.00067, 0.00582, 0.00306, 0.00244, 0.00178, 0.00181, 0.0019, 0.00602, 0.00058, 0.00829, 0.00302, 0.00783, 0.00124, 0.00145, 0.00448, 0.00279, 0.00716, 0.00324]","[0.08394, 0.04767, 0.07236, 0.02092, 0.04912, 0.0363, 0.04913, 0.04701, 0.0463, 0.02254, 0.04691, 0.10565, 0.05771, 0.02265, 0.06211, 0.06835, 0.08977, 0.02663, 0.02699, 0.03933, 0.05812, 0.02007, 0.0226, 0.02003, 0.02389, 0.06987, 0.02629, 0.02537, 0.03684]","[2, 0, 2, 0, 0, 1, 0, 1, 2, 1, 0, 6, 0, 0, 0, 0, 1, 0, 0, 2, 2, 2, 0, 0, 0, 1, 0, 0, 2]",26,29
2.5,49,"[0.00553, 0.00303, 0.00233, 0.001, 0.0063, 0.00068, 0.00139, 0.00312, 0.00271, 0.00768, 0.00122, 0.00142, 0.00723, 0.00488, 0.00451, 0.00826, 0.00194, 0.00118]","[0.02414, 0.06237, 0.02668, 0.08704, 0.0247, 0.09217, 0.03475, 0.07459, 0.02203, 0.02262, 0.03703, 0.03823, 0.02791]","[2, 3, 2, 1, 2, 1, 0, 1, 0, 0, 0, 3, 3]",18,13
2.5,50,"[0.00095, 0.00212, 0.00924, 0.00482, 0.00195, 0.00085, 0.00604, 0.00839, 0.00246, 0.00723, 0.0008, 0.00186, 0.00323, 0.00546, 0.00156, 0.008, 0.00524, 0.00278, 0.0002]","[0.04675, 0.06368, 0.03484, 0.02558, 0.15074, 0.02071, 0.06542, 0.07918, 0.04421, 0.06674, 0.03899, 0.02076, 0.02465, 0.13157, 0.05187, 0.04013]","[0, 0, 0, 3, 2, 0, 0, 1, 0, 2, 1, 1, 2, 5, 0, 2]",19,16
2.5,51,"[0.00412, 0.00029, 0.00369, 0.00087, 0.00302, 0.00076, 0.00814, 0.00115, 0.00192, 0.00716, 0.00826, 0.00194, 0.00118, 0.00852, 0.00271, 0.00768, 0.00122, 0.00059, 0.00073, 0.00092, 0.00068, 0.00139, 0.00312, 0.00233, 0.001, 0.0063, 0.00204, 0.00475]","[0.04072, 0.06948, 0.02146, 0.03481, 0.04946, 0.02214, 0.02257, 0.0752, 0.0392, 0.10748, 0.04822, 0.02268, 0.05779, 0.05226, 0.04517, 0.02791, 0.07774, 0.03475, 0.07336, 0.0247, 0.02859, 0.02062, 0.02818, 0.0823, 0.02668, 0.0501, 0.02096, 0.03284, 0.03144]","[1, 0, 0, 0, 2, 1, 1, 0, 1, 3, 0, 0, 0, 0, 1, 0, 4, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 3, 0]",28,29
2.5,52,"[0.00462, 0.00073, 0.00271, 0.00122, 0.00952, 0.00576, 0.00142, 0.00723, 0.00488, 0.00451, 0.00826, 0.00194, 0.00118]","[0.02854, 0.0406, 0.0247, 0.09217, 0.03475, 0.07459, 0.02203, 0.02262, 0.03703, 0.03823, 0.02791]","[1, 1, 1, 3, 0, 1, 0, 0, 0, 3, 3]",13,11
